material_name,Frequency
P3MHOCT (Poly(3-(2-methylhexyloxycarbonyl)thiophene-co-thiopene)),1
P3CT (Poly(3-carboxy-dithiophene)),1
Silver Paste (Dupont 5007),1
TiO2 Nanospheres,1
MOCVD-GaN/6H-SiC template (MGS),1
CdTe single crystal substrate,1
ZnO nanoflowers (ZNFs),1
RBa2Cu3Ox (R = Y or Gd),1
GaAs/AlAs Superlattice (n- or p-doped),1
A1.45Ga0.55As Cladding,1
GaAs/Al0.1Ga0.9As MQW,1
"O1 (DPP-A unit, NDT-D unit)",1
"O2 (DPP-A unit, ADT-D unit)",1
"O3 (DPP-A unit, DTNDT-D unit)",1
2H AlN,1
GaSb (Buffer/Contact Layer),1
InAs/GaSb:Be (Active Superlattice Layer),1
Nominally Undoped Superlattice,1
InAs:Si/GaSb (n-type Superlattice Layer),1
InAs:Si (Top Contact Layer),1
GaAs/AlGaAs Multiple Quantum Well (MQW) Stacks,1
Three-Coupled Quantum Wells (3x QW) within MQW Stacks,1
Triple Coupled QW MQW Stack (Short Wavelength - SW),1
Triple Coupled QW MQW Stack (Long Wavelength - LW),1
MQW Cavities (formed by DROC and Reflector),1
Diffractive Resonant Optical Cavity (DROC),1
Planar Metal Reflector Layer,1
AlN Nanotube (with GB),1
Pd-decorated AlN Nanotube (with GB),1
Semiconductor material (general case),1
Bulk Electrodes (general case),1
Arsenic Clusters,1
ZnS/Co9S8,1
1 (Pyridinium cation),1
2 (Pyridinium cation),1
3 (Pyridinium cation with hydroxyethyl group),1
4 (Pyridinium cation with carboxyethyl group),1
5 (Pyridinium cation with propionamidyl group),1
6 (Pyridinium-N-ethylammonium dication),1
7 (Pyridinium-N-ethylammonium dication),1
YInZnOx,1
"APD with three layers: 50-nm-GaAs, 85-nm-Al0.6Ga0.4As, and 50-nm-GaAs",1
GaAs (Low Ionization Threshold Energy Layers),1
Al0.6Ga0.4As (High Ionization Threshold Energy Layer),1
i-Al0.35Ga0.65As layer,1
n-Al0.35Ga0.65As layer,1
GaAs/AlGaAs superlattice buffer,1
Nitrogen (A-centres),1
Vacancy-Nitrogen Defects,1
Voidites,1
ZrBxN1-x,1
MoS2(2ML),1
WS2(2ML),1
Al0.35Ga0.65N (Cladding),1
GaN Well (Populated),1
GaN template substrate (4 µm thick),1
Core - GaAs,1
Shell - Ga1-xAlxAs,1
Bulk Environment - Ga1-yAl-yAs,1
Si Photodiode (Hamamatsu Photonics Model S1336),1
GaAsP Photodiode (Hamamatsu Photonics Model G1737),1
CdS Photoconductive Cell (Hamamatsu Photonics Model P467),1
Two-dimensional Si CCD array (Sony Model XC37),1
PBT-2T,1
Polycrystalline silicon (poly-Si),1
InAlN/GaN heterostructure,1
InAlN/AlN/GaN HEMT heterostructure,1
[InGaAs Photodiodes],1
"[Amplifier Electronics (Two-stage, AC-coupled second stage)]",1
[Optics (Self-designed)],1
[Microphones (2)],1
Sapphire (Al2O3 substrate),1
Al metal (source),1
AlCl3 (gaseous precursor),1
NH3 (gaseous precursor),1
HCl (gaseous reactant),1
H2 (carrier gas),1
2DEG at InGaSb/InAlSb interface,1
Tungsten Base Grating,1
"All layers (In0.22Ga0.78Sb well, GaSb buffer, GaSb cap)",1
Biotinylated Antibodies,1
EB Resist,1
Zinc-doped InP,1
Polyaniline Emeraldine Base (EB),1
EB/MWNT Nanocomposite,1
e-Ga2O3 main layer,1
Glass (Front and Rear),1
Glass (Front),1
Silicon (Si) cell,1
Layer of local defects introduced by proton bombardment,1
In0.045Ga0.955N,1
Amorphous/crystalline Ga2O3 phase-junction,1
Crystalline Ga2O3,1
In0.52Al0.48As Buffer,1
In0.53Ga0.47As Channel (2DEG),1
In0.52Al0.48As Set Back,1
In0.53Ga0.47As Cap,1
In0.52Al0.48As (Si doped),1
2DEG in In0.53Ga0.47As Channel,1
Metal Grating Gate,1
Gate/2DEG Interface,1
B-staged BCB Polymer,1
GaAs/In(Ga)As quantum dots,1
Fused silica,1
Lead-silicate glass (SF6 glass),1
Etched back surface,1
Cu2S (and possibly Cu-poor phases),1
VSe2 nanosheets,1
VSe2-based SA device,1
4-inch n-doped 4H-SiC wafer,1
p+ doping layer,1
n+ cathode,1
Ni/30 nm Ti/150 nm Au/80 nm Au,1
40 nm Ti/300 nm Au,1
Thermally grown SiO2,1
Defect zone (in active area),1
p-type 2H-GaN epilayer,1
SiO2 gate oxide,1
Inversion Channel (Interface),1
Stress Mitigating Stack,1
NaYF4:20%Er3+,1
CdxMn1-xSe,1
Germanium doped with Gallium (Ge:Ga),1
P1 (Cyanoacetic acid),1
P2 (Rhodanine-3-acetic acid),1
P3 (Barbituric acid),1
P4 (Thiobarbituric acid),1
WNx Film,1
GaAs Substrate/Channel,1
WNO.04 Film,1
Main Absorber (Donor),1
Organic Hetero-interface,1
Interfacial Charge Transfer (CT) State,1
CdS (Host Semiconductor),1
Cl (Additive/Compensator),1
RbxCs1-xPbBr3 (Mixed-monovalent cations lead bromide perovskite),1
PbBr2 (Lead bromide),1
Cs2CO3 (Cesium carbonate),1
Rb2CO3 (Rubidium carbonate),1
1-octadecene (ODE),1
Negatively Charged Donor (D-),1
Spherical Shell Quantum Dot,1
Fe-doped InP waveguide layer,1
Waveguide-integrated PIN photodiode (pin PD),1
Balanced PIN-PD pair,1
Waveguide Spot Size Converter (SSC),1
Tapered transition element,1
Metal interconnect,1
Waveguide crossing,1
Multi-Mode Interference (MMI) coupler,1
Ring resonator,1
Phase shifter,1
Waveguide-integrated DFB laser diode,1
Waveguide-integrated DBR laser diode,1
Current-injection phase modulator,1
Waveguide-integrated PIN photodiode,1
MA0.5FA0.5Pb0.5Sn0.5I3,1
0.95Bi0.5Na0.5TiO3–0.05BaNi0.5Nb0.5O3 (0.95BNT–0.05BNN),1
Quantum Well Structure on (111)B Substrate,1
Laser Chip,1
"Undoped, Semi-Insulating GaAs Crystal",1
"Oxygen-Doped, Semi-Insulating GaAs Crystal",1
"Lightly Cr-Doped, Semi-Insulating GaAs Crystal",1
PNOZ,1
PNTZ,1
Active Region Base In0.53Ga0.47As Layer,1
Quantum Cascade (QC) Unit (Repeated 50 times),1
Capping In0.53Ga0.47As Layer 1,1
Capping In0.53Ga0.47As Layer 2,1
QCL Heterostructure,1
Laser Crystal,1
Incident Photons,1
Carbon Fiber Tow (Unspecified type),1
β-SiC Coating,1
InAlAs-InGaAs MSM Photodetector,1
High-Electron-Mobility Transistor (HEMT),1
Zn0.51Cd0.49Se Quantum Wells,1
Zn0.29Cd0.26Mg0.45Se Barriers,1
Zn0.51Cd0.49Se Contact Layers (Emitter & Collector),1
Green LED,1
Red LED,1
Si-doped n-type Ga2O3 Drift Layer,1
Ti/Au Back Side Contact,1
GaAsxSbyP1-x-y (Epitaxial Layer),1
GaAsxSbyP1-x-y (Graded Buffer Layer),1
GaAl1-xAsySb1-y (Active Layer),1
Eosin Yellow (EY),1
Fluorescein sodium salt (FS),1
FeOEC (Amorphous iron oxyhydroxide),1
Al0.3Zn0.7O,1
(n)AlxGa1-xAs,1
(p)Al0.05Ga0.95As,1
(n+)GaAs SUB,1
(n)AlxGa1-xAs Emitter,1
Undoped GaAs setback layer,1
(n+)GaAs Collector,1
(n)Al0.05Ga0.95As Cap,1
(n)Al0.10Ga0.90As Spacer,1
ZnO:In nanoparticles (source material),1
ZnO:In thin film (on glass),1
ZnO:In thin film (on c-Si),1
p-type monocrystalline silicon (c-Si) substrate,1
Au (front contact),1
In2O3:SnO2 (window layer),1
"ZnO:In (absorber layer, n-type)",1
"c-Si (substrate, p-type)",1
Cu2BaSnS4 (CBTS),1
n-ZnO nanowire array,1
Cu-doped ZnSe Nanocrystals,1
S anions (Stabilizer),1
Cu-doped ZnSe/S Nanocrystals,1
ZnS (Host),1
Mn ions (Dopant),1
Mn-doped ZnS Nanocrystals,1
Epitaxial Structure (AlGaN/GaN on Si),1
Gate (T-shaped Pt/Ti/Pt/Au),1
Passivation (SiO2/SiN),1
MHAH-Grown Ge Layer,1
Cu2Zn1.5Sn1.2S4+x,1
Focal Plane Array chip,1
Vacuum glass Dewar,1
J-T cooler,1
"Built-in optical components (filters, apertures)",1
Inner leads (platinum wire),1
Kovar external leads,1
Gold-lead,1
ENG Material (A and A'),1
MNG Material (B and B'),1
Cs2(Ag:Cu)BiBr6 (Cu-50),1
GaAs (n+ Layer),1
GaAs (p Layer),1
Al0.9Ga0.1As (p+ Layer),1
Ag-Mn-Zn,1
"Glass substrate (Asahi U-type, textured SnO2:F)",1
p-type window layer (p-a-SiC:H),1
Buffer layer (varied),1
Intrinsic absorber (i-a-Si:H),1
n-type layer (n-a-Si:H),1
Transparent Conductive Oxide (TCO) (ZnO:B),1
Metal contacts (Ag/Al),1
Intrinsic absorber (i-mc-Si:H),1
Quantum Efficiency (QE),1
Al(0.5)Ga(0.5)As Graded Cladding Layer,1
Al(0.2)Ga(0.8)As Cladding Layer,1
Al2O3 Upper Etch Mask Layer,1
Low-temperature Plasma-deposited SiO2 Lower Etch Mask Layer,1
Al2O3 Coating on ICP-RIE Chamber Components,1
Silicon-based Deposit/Passivation Layer on Chamber Components (formed during conditioning),1
Chamber Wall Deposits (Post InP Etch),1
Chamber Wall Deposits (Post Conditioning),1
Dielectric rods (GaAs) immersed in air.,1
GaN/AlN Buffer Structure,1
NT812 (Polymer),1
NT1014 (Polymer),1
"AlGaN prelayer, LT GaN buffer, GaN",1
CIAS (Copper Indium Aluminum diselenide),1
Top i-layer (a-Si alloy),1
Middle i-layer (a-SiGe alloy),1
Bottom i-layer (a-SiGe alloy),1
Tunnel Junctions (p2n3 and p1n2),1
Top Contact/Oxide (ITO),1
Back Reflector (Ag/ZnO),1
TiO2 NPs film,1
Sb Quantum Well Layer,1
AlxGa1-xN interlayer,1
AlyGa1-yN/GaN superlattice,1
Ti/Au back electrode,1
p-Al0.4Ga0.6N EBL,1
LEEBL (Al0.4Ga0.6N EBL with inserted QW),1
Te-doped GaAs crystal,1
InP/In0.53Ga0.47As/InP epitaxy material,1
CdSe:O (0.01 Pa),1
CdSe:O (0.03 Pa),1
Hg₀.₇₈Cd₀.₂₂Te (contact region),1
"HgCdTe (P layer, wide gap region)",1
Two-dimensional electron gas (2-DEG),1
HEMT Devices,1
Ga0.51In0.49P (Top Cell),1
Ga0.95In0.05As (Middle Cell),1
"Silicon Carbide (SiC), specifically β-SiC phase",1
Carbon Nanotubes (CNTs) (Trace Residues),1
TiO2-B nanowire,1
nc-Si–QDs (Nano-crystalline Silicon Quantum Dots),1
a-SiC (Amorphous Silicon Carbide) matrix,1
P (Phosphorous dopant),1
"Core: (In,Ga)N, Shell: GaN",1
Impurity: Hydrogenic-like donor,1
TiN PhC Layer,1
Dielectric Encapsulated Layer,1
"Cd, Zn, S (unmilled)",1
Cd0.8Zn0.2S (milled),1
n+-type Si,1
p+-type Si,1
Oxidized MWCNT,1
MWCNT – MA – 1-octene,1
Au-Pt alloy,1
AlN Layer (Substrate component),1
GaN (MQW Active Layer),1
(A)CIGS,1
Ti1-xMgxO2,1
Ti1-xSbxO2,1
Ti1-xZrxO2,1
S-doped TiO2,1
L-CdS QDs,1
Heterojunction (specific materials not detailed in this excerpt),1
n-GaAs (bottom layer),1
n-AlxGa1-xAs (top layer),1
Undoped GaAs (channel layer),1
2DEG (accumulated at interface),1
Silicon-Carbon,1
Cd Vacancy (V_Cd),1
Er-Cds Vacancy complex,1
Eu dopant,1
Eu-Mg-H-VN complex (Mg/Eu1),1
Eu-Mg-H-VN complex (Mg/Eu2),1
Eu-Mg-H complex (Mg/Eu3),1
CrN nanoislands,1
Carbon Rod,1
Gas Pipe (Water Jacket),1
Tee (Water Jacket),1
Fibre Plugs,1
Steel Carbon-Holders,1
Bitumen,1
Three Simple Heavy-Current Resistance Units (as described in System 1),1
Water Flow,1
Compound 1 (tetraacetylic control molecule),1
Compound 2 (oligothiophene-bridged bis(arylene ethynylene)),1
Compound 3 (oligothiophene-bridged bis(arylene ethynylene)),1
Compound 4 (oligothiophene-bridged bis(arylene ethynylene)),1
Li-doped NiO (LiNiO),1
Zr0.05Ti0.95O2,1
ROIC (FLIR/Indigo ISC0903),1
PbxSn1-xTe0.5Se0.5,1
a-TZO (Sn1-xZnxO),1
a-TNO (Sn1-xNixO),1
CdS QDs capped with MUD (OH-terminated),1
CdS QDs capped with 1-UDT (CH3-terminated),1
Nitrogen vacancy (VN3+),1
CdZnS NCs,1
"Polycrystalline diamond (PCD) with varying grades (PCD A, PCD ABL, PCD B, PCD BBL)",1
PCD microstructure composed of diamond grains (6% volume fraction cobalt binder),1
Polycrystalline diamond with cobalt binder,1
Au@C-dots,1
TiO2/SnO2 Composite,1
Glass (Corning EagleXG),1
vPCDTBT,1
B-PCDTBT,1
B-vPCDTBT,1
"PCDTBT (Poly[N-9'-heptadecanyl-2,7-carbazole-alt-5,5-(4',7'-di-2-thienyl-benzothiadiazole))",1
np-ZnO,1
PC6,1
Ni Crystal,1
β-CIGS,1
InGaAs PIN Photodiode Structure,1
SU8-2000 photoresist,1
Cadmium Selenide/Zinc Sulfide (CdSe/ZnS) Quantum Dot (QD),1
Femtosecond pulse laser (Toptica FemtoFiber pro NIR),1
"Continuous-wave laser (Thorlab, Product No. FPL1009S)",1
Microscope objective,1
"Infrared photodiode (Newport, model: 2153)",1
"EMCCD (Andor technology, iXon3 897)",1
"Photomultiplier tube (Princeton Instruments, PD-471)",1
Short-pass filter (SPF),1
Bandpass filter (BPF),1
GaN substrate (MOCVD),1
Pyramidal Defects (PDs),1
GaMnAs (Host/Well),1
Hydropower Station,1
PV Power Station,1
1 µm n-doped GaAs contact layer (Substrate side),1
Al₀.₂₇Ga₀.₇₃As emitter barrier,1
Undoped GaAs quantum well (QW),1
Al₀.₂₇Ga₀.₇₃As collector barrier,1
0.5 µm n-doped GaAs contact layer (Mesa top side),1
ZnO window layer (non-doped),1
ZnO:B window layer (doped),1
a-Si:H Mask,1
Zn-silicate (primarily Zn2SiO4),1
Carbon Nanotips (CNs),1
SiC Quantum Dots (QDs),1
n-InAs (110) Surface,1
Tip-induced Quantum Dot (QD),1
Dopants in InAs,1
CdxHg1-xTe (x = 0.20),1
CdxHg1-xTe (x = 0.26),1
Au/Cu co-doped ZnO,1
In-situ AlN Buffer Layer,1
First CdS layer,1
Second CdS layer,1
"p-Cu(In,Ga)Se2 (CIGS)",1
SSD InP Substrate,1
Zn-Doped p-type InP Epitaxial Layer,1
Passive Film (on Ti),1
Thermal Oxide Film (on Ti),1
LiFx/Al Contact Fraction,1
Sn1-xCaxS alloy,1
TiO2 (Nanocrystalline Anatase),1
Glass/SiO2 Substrate,1
CVD Diamond Wafer,1
β-Ga2O3 Films,1
Vertical Structure (n-GaN/n-Al0.3Ga0.7N/n-SiC),1
"GaN HEMT Transistors (10F125, 0.25 µm gate length)",1
Drain Shunt Capacitors (Cd),1
Output Artificial Transmission Lines,1
Input Artificial Transmission Lines,1
Wideband Impedance Transformer,1
Charge carriers (electrons and holes),1
In0.87Ga0.13As (Quantum Well),1
Undoped GaAs (Cap),1
io-AZO (Inverse Opal Al-doped ZnO),1
CdTe (Initial ALD Layer),1
CdTe (Overall Passivation Film),1
MCF-7 cells,1
BGQDs,1
HEK-293T cells,1
HT-29 cells,1
Bi2S3/NGQDs,1
Hexagonal PhCRR,1
Scattering Rods,1
SiO2 Nanosphere Suspension (for Mask),1
p-type Si1-xGex (strained),1
OAm (Oleylamine),1
Nitrogen (N) (as dopant),1
a-SiC Coating,1
DLC-Si Coating,1
"Tin Oxide (SnO2), potentially Fluorine-doped Tin Oxide (SnO2:F)",1
Amorphous Carbon Nitride (a-CNx),1
CdTe islands (QDs),1
Al0.88In0.12N Barrier,1
Ar+ induced defects,1
n+ layers,1
Zn0.97Cr0.03O,1
ZnxCr1-xO,1
"Theoretical model system (not specified semiconductor, but parameters are suitable for GaAs-Ga1-xAlxAs)",1
Antireflection coated GaAs diode,1
"External cavity components (photographic lens, diffraction grating)",1
GaAs (Be-doped layer),1
GaAs (Unintentionally doped layer),1
GaAs (Undoped Spacer),1
Semiconducting CNTs (s-CNTs),1
"Al2O3 (initially amorphous, a-Al2O3)",1
Au or Al electrode,1
ZnO Transducer Layer,1
Platinum-Gallium Alloy Composite Micro-pellets,1
Bi0.85Sr0.15FeO3,1
Bi0.75Sr0.25FeO3,1
Bi0.55Sr0.45FeO3,1
InGaN underlying layer,1
Quantum Dot (Host Material),1
Repulsive Impurity,1
ZnO (HT Homobuffer),1
ZnO (LT Homobuffer),1
GaP Membrane,1
DNQDI Molecule,1
DNQDI/PMMA Film,1
Mn layers embedded in Si3N4,1
Mn layers (0.7 nm nominal thickness) embedded in Si3N4,1
ZnS insulator layer,1
GaAs Spacer Layers / Bulk GaAs,1
"Gal_,In,As Epitaxial Layer (n-type)",1
"Gal_,In,As Epitaxial Layer (p-type)",1
"Gal_,In,As Epitaxial Layer (General)",1
Diode (General),1
Silicon Matrix & Barriers,1
InGaAs-InP,1
PDTTBBO,1
Perovskite (Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3),1
Iron-doped Semi-insulating GaN Epilayer,1
Unintentionally Doped (UID) GaN Epilayer,1
Sr2TiO4,1
Sr2Ti3.875S0.125,1
Sr2Ti3.875Se0.125,1
Sr2Ti3.875Te0.125,1
"ZnO (Spherical morphology, ZnOE)",1
"ZnO (Without defined morphology, ZnOM)",1
"ZnO (Hexagonal prism morphology, ZnOH)",1
1060-nm InGaAs/GaAs VCSEL,1
28-Gb/s × 4-channel Parallel-Optical Module,1
1060-nm InGaAs/GaAs VCSEL Array,1
14-Gb/s × 12-channel Parallel-Optical Module,1
Transmitter (TX) Circuit,1
Receiver (RX) Circuit,1
Porous Gallium Nitride (porous GaN),1
Sample (nsam),1
Gallenene,1
Bismuthene,1
Selenene,1
Silicon (Si) and Indium Phosphide (InP) clusters,1
ZnTe (BSF),1
AlxGa1-xAsySb1-y Epilayer,1
[SnF2(DME)]2 complex,1
"N,N-dimethylaniline",1
2D/3D structures,1
tetrabutylammonium,1
Al1-xSixOy mixed oxide,1
SnO₂-enriched interfacial layer,1
InGaAs/AlInAs heterostructure,1
HgGaInS4,1
Isolated Macrosteps,1
Polar semiconductor,1
Surrounding nonpolar medium (optically inactive),1
PBDDIDT,1
PBDDIDTT,1
AuZn electrode,1
AuSn electrode,1
SM4,1
MP GaP Substrate,1
Interface between MP Substrate and LPE Layer,1
CP GaP Substrate,1
Interface between CP Substrate and LPE Layer,1
MP GaP Substrate (Vapor-Etched),1
MP GaP Substrate (Vapor-Etched) Surface Morphology (Baked Ampoule),1
MP GaP Substrate (Vapor-Etched) Surface Morphology (Unbaked Ampoule),1
Interface between Vapor-Etched MP Substrate and LPE Layer,1
SOI wafer with crystalline Si device layer,1
Ti/Au resistors on MZI modulators,1
t-HfO2 (Tetragonal Hafnium Oxide),1
Oxygen Vacancy (Vo),1
ZnO (101̅0) Substrate,1
MPA-CdSe Quantum Dots,1
TCO (Tec 15),1
CsPbI3-xBrx,1
Boron Ion Doped ZnO (Source/Drain Contacts),1
IZO (Gate Electrode),1
SiNx (Gate Insulator),1
Corning 1737 Glass (Substrate),1
n(ZnSe)1 – x – y(Si2)x(GaP)y epitaxial layer,1
Large optical cavity (A = 1.5 μm active layer),1
A = 1.3 μm quaternary layers,1
InP confining layer,1
InGaAsP contact layer,1
Ridge structure,1
ALD-(Al2O3/AlN) multilayer,1
Crystalline ALN,1
Crystalline ALN/Al2O3,1
Crystalline ALN Seed,1
"PCE12-ITIC (Polymer: PCE12, Acceptor: ITIC)",1
"PBTTT-PC71BM (Polymer: PBTTT, Acceptor: PC71BM)",1
[p-PSi],1
[CuO],1
Copper plate (with black paint coating),1
Free iron soda lime glass,1
Rock gravel and sand,1
Sapphire Substrate (Etched Half),1
Sapphire Substrate (Unetched Half),1
GaN quantum disks,1
"Ga,In1-x,P",1
InAlGaN/InGaN,1
"GaN (a-phase, wurtzite)",1
GaAs Bulk Lattice,1
As-As Dimers,1
As Atoms (in bulk termination layer),1
H2+ ions,1
CsPb1-xTixI3 QDs,1
CsPb1-xTixI3 QDs@glass,1
Ce3+:YAG Phosphor,1
InGaN Blue LED Chip,1
GaInN Blue LED Chip,1
Polymer fluidic chip,1
Microdialysis catheter,1
Perfusion pump,1
Non-disposable unit,1
"HgCdTe Diode (Process C, Size 1: 30x30 µm²)",1
"HgCdTe Diode (Process C, Size 4: 90x90 µm²)",1
"HgCdTe Diode (Process C, Size 2: 30x60 µm²)",1
n-type Hg1-xCdxTe,1
WS2 Material,1
PMMA Holding Layer,1
Bulk GaAs Material,1
NaCl (100),1
Electrolyte (HCl in water),1
MoSe2 (Trilayer),1
"MoSe2 (Few-layer, 3-5 layers)",1
MoSe2 (Bulk),1
HBL 1,1
HBL 2,1
HBL 3,1
Prestrained Layer (GaN/InGaN),1
Multiple Quantum Wells (MQWs) (InGaN/GaN),1
V-shaped Pits,1
AlGaAsSb Waveguide Layers,1
Graded AlGaAsSb Layers,1
DBC-BNNSs,1
Bu-BNNSs,1
Bu-BNNS:PE nanocomposite,1
I−/I−3,1
GaAlAs Window Layer (Potential Candidate),1
GaP Window Layer (Potential Candidate),1
ZnSe Window Layer (Potential Candidate),1
"Inorganic Sulfides (e.g., Na2S.9H2O) (Potential Passivation Agent)",1
Metallic Interdigitated Fingers (MSM),1
Metallic Connections/Transmission Lines,1
Polythiophene Derivatives,1
Titanium Oxide,1
[GaNxAs1−x],1
[GaNxP1−x],1
[InyGa1−yNxAs1−x],1
[GaNxAs1−x−0.4P0.4],1
CH3NH3PbBr3 (Methylammonium Lead Bromide),1
Diamond (Epitaxial CVD layer),1
Al0.37Ga0.63N:Si,1
InAlGaN Multiple Quantum Wells (MQWs),1
AlGaN/AlGaN superlattice,1
CsPbI3 Nanocrystals,1
PDOT,1
GaN Epi Layer,1
Metal-Grid (Common Cathode),1
Transparent Polymer (Photo-patternable Passivation/Planarization Layer),1
Semi-Sphere Micro-Lens Array,1
Cu2GeSe3 (CGSe),1
Single In0.4Ga0.6N Quantum Dot,1
"GaN Layers (n, i, p)",1
Pb stick,1
"Cu2ZnSnS4 (CZTS) (main phase), SnS (minor phase)",1
Silver core (Ag),1
Doped dielectric shell,1
"Active organic molecules (e.g., tetra(2,6-tert-butyl)phenol porphyrin zinc (4TBPPZn))",1
Silver nanospheres (Ag),1
Single semiconductor quantum dot (QD),1
Bphen (Bathocuproine),1
p-type InGaN layer,1
Propanedithiol Ligands,1
HgCdTe (x ≈ 0.22),1
HgCdTe (x ≈ 0.21-0.23),1
ZnO Hexagonal Grains (HG),1
InGaAsP/InP Superlattice,1
n+-InGaAs Collector Layer,1
n+-InGaAsP Ohmic Contact Layer,1
Ni/Al/Ni Finger-grids,1
YIG (Yttrium Iron Garnet),1
Tunable MSW Filter A,1
Tunable MSW Filter B,1
Amplification Stages,1
Tunable MSW Filters (Shaded Areas),1
Amplification Stages (Triangles),1
ZnS1−xSex,1
Zn1−xCdxS,1
Two identical two-level atoms (TLAs) or quantum dots,1
Effective Dimer,1
Two pairs of identical two-qubit systems (dimer A and dimer B),1
Control of qubit transition frequencies via AC Stark shift,1
Two-level atom (TLA),1
Two identical two-level atoms (TLAs),1
BPA Self-Assembled Monolayer,1
OPA Self-Assembled Monolayer,1
4-BrPA Self-Assembled Monolayer,1
P3HT (donor),1
Ohmic Contacts (Drain-Source),1
Sidegate Electrodes,1
TMA (trimethylammonium (TMA),1
EA (ethylammonium (EA),1
GA (guanidinium (GA),1
ACA (acetamidinium (ACA),1
IM (imidazolium (IM),1
Isopropylammonium (IPA),1
Isopropylammonium (IPA) and Methylammonium (MA),1
Rubidium (Rb) and Fluorine (F),1
2DEG in GaAs channel,1
Ga0.47In0.53As (Wells),1
Piezoelectric AlN Film,1
Substrate and Membrane,1
"P1 (Polymer based on NDT and 2,5-bis(tributylstannyl)thiophene)",1
"P2 (Polymer based on NDT and 2,5-bis(trimethylstannyl)thieno[3,2-b]thiophene)",1
GaN (Overall Doped Structure),1
D3 Branes,1
Self-Dual B-field,1
D-instanton,1
In1-xGaxP (Epilayer),1
AuPdAlTi,1
"Ga(As,N) Alloy",1
3-Mercaptopropionic Acid (MPA) Capping Agent,1
Functionalized CdTe/CdS Core/Shell Quantum Dots,1
a-plane AlN layer,1
a-plane AlGaN layer,1
a-plane GaN template layer,1
OSELO a-plane GaN overgrowth layer,1
KP15,1
AlGaN (x ≈ 0.42),1
Single LT-AIN,1
AlGaN (x ≈ 0.43),1
Double LT-AIN,1
Single AIN LT-buffer,1
"Multi-buffer layers (e.g., double LT-AIN)",1
General n-type semiconductor (n+),1
General p-type semiconductor (p+),1
n+GaxIn1-xP (x~0.5),1
p+AlxGa1-xAs (x~0.36),1
Interface between n+GaxIn1-xP and p+AlxGa1-xAs,1
AlGaN/AlN superlattice (SL),1
AlxGa1-xN (x=0.1-0.3) transition layers,1
AlxGa1-xN cap barrier layer (x=0.25-0.4),1
GaN/AlGaN HEMT heterostructure on SiC substrate,1
InAlN barrier layer (In content 17%),1
AlN layer (several angstroms),1
PF10TBT:PCBM Blend,1
t2-bis-PCBM,1
PF10TBT:t2-bis-PCBM Blend,1
PF10TBT:bis-PCBM Blend,1
si-bis-PCBM,1
PF10TBT:si-bis-PCBM Blend,1
CdS (Nanowires),1
CIGS (bulk),1
CdS (bulk),1
ITO-SnO2,1
TG-CdSe,1
GaSb (substrate) and AlSb (overlayer),1
n-type GaAs (doped 10^17–10^19 cm^-3) and AlxGa1-b3As (x ≈ 0.3),1
(GaAs)0.77(Ge2)0.23 alloy middle layer,1
InGaAs component within the alloy,1
Graphene (GS),1
Guanine (G),1
Adenine (A),1
Thymine (T),1
Cytosine (C),1
Ga1-xInxAsySb1-y Quantum Wells (Gai..xInAsySb1..y QWs),1
p-Cd0.23Hg0.77Te active layer,1
Fe:SLN Crystal (Lithium Niobate),1
Binary Waveguide Array (Channels),1
Er in GaN:Er,1
AlGaN/GaN/InGaN Heterostructure,1
AlGaN/GaN Heterostructure on Silicon,1
AlGaN/GaN/InGaN Heterostructure on Silicon,1
S (Donor),1
C (Acceptors),1
"P3AT (rr PAT4, rr PAT6, rr PAT12, rrnd PAT6)",1
Chlorinated Multi-walled Carbon Nanotubes (Cl-MWCNT),1
Amine Functionalized CdS Quantum Dots (QDs),1
MWCNT-QD Nanoconjugate,1
ZnO nanowire (NW),1
GaAs Layer (Drift Region),1
GST,1
Polymer 11,1
Polymer 12,1
Polymer 13,1
Germanate glass host (80GeO2–10ZnO–10Na2O),1
Defects in host glass,1
Ga(1-x)Al(x)As LPE layer,1
"Zn-diffused region / Low-conductivity region (e.g., inversion layer)",1
Ga(0.35)Al(0.65)As layer,1
Ga(0.9)Al(0.1)As layer,1
Al0.10Ga0.90As Barriers,1
n-GaAs (High-purity epitaxial),1
Superconducting Nb Resonator (Cavity),1
InAs Nanowire Double Quantum Dot (DQD),1
ZnO-TF interlayer,1
ZnO-QDs interlayer,1
Copolymer Formation,1
Doping Interface Dipole (DID),1
InxGa1-xN (0001),1
a-C:Ox:H (Hydrogenated Amorphous Carbon doped with Oxygen),1
a-C:H (Undoped Hydrogenated Amorphous Carbon),1
a-C:Ox:H Thin Film,1
Er:ZnO PhC,1
"[BX6]4− (B = Pb, X = Cl)",1
"[BX6]4− (B = Pb, X = Br)",1
"[BX6]4− (B = Pb, X = I)",1
"[BX6]4− (B = Sn, X = Cl)",1
"[BX6]4− (B = Sn, X = Br)",1
"[BX6]4− (B = Sn, X = I)",1
CSS (Conventional Sapphire Substrate),1
GaN Film on CSS,1
CNPSSI (Single Layer CNT-Patterned Sapphire Substrate),1
GaN Film on CNPSSI,1
CNPSSII (Two Layer CNT-Patterned Sapphire Substrate),1
GaN Film on CNPSSII,1
