Main Term,Count
"Main Transition Energies",1
"Facet Coating Reflectivity",1
"Presence of Free Exciton A",1
"XPS Zn 2p3/2 Peak Intensity",1
"Plasmonic Modes",1
"N–H Stretching Mode",1
"Polarization-dependent Absorption",1
"Transient Absorption Dynamics",1
"Waveguiding mechanism",1
"Photoluminescence - Near-band-edge Emission",1
"n+ Layer Thickness",1
"Layer Surface Morphology",1
"Slow Relaxation Time Constant",1
"Peak Energy",2
"Photocurrent Uniformity",1
"Background Current",1
"Wire Diameter",1
"Ground state structure",1
"High-magnification Morphology",1
"Field Effect Behavior",1
"Presence of Trapping Centers",1
"Photoluminescence - Band-gap emission",1
"Ga/ Ratio",1
"Near Band Gap Donor-Bound Exciton Emission Peak",1
"Misfit Dislocation Average Spacing",1
"Photocurrent under Illumination",1
"Dark current density-voltage characteristics",1
"Absorption Coefficient in Visible Region",1
"GaN Cap Thickness",1
"Defect-related Emission Peak Energy",1
"Negative Magneto-Photoconductivity",1
"Atomic O concentration",1
"Emission Wavelength Shift with Current",1
"Intensity Modulation",1
"TPV system efficiency",1
"Dominant Acceptor",1
"Index Modulation",1
"Mn Mole Fraction",1
"Slow Axis Divergence",1
"Mask structure",1
"Surface doping level",1
"Section Lengths",1
"Fano Resonances",1
"Barrier Layer Thickness",1
"Neutral donor bound exciton transition energy",1
"PL Peak Half-Width",1
"EL Emission Wavelength Range",1
"Phase Purity and Crystalline Quality",1
"Optical Constant",1
"Lateral Growth Structures",1
"Strain Application",1
"Average extinction coefficient k",1
"Depth Profile of Carrier Concentration",1
"C=O Stretching",1
"O 1s XPS peak related to oxygen vacancies",1
"Reciprocal Lattice Map",1
"UV Transparency",1
"Diffusion Temperature",1
"Carrier Trapping",1
"Effective Illumination Area",1
"Photoexcitation Characteristics",1
"Two-photon interference visibility",1
"Vacuum gap",1
"IR Signal Intensity",1
"UV–vis Spectrophotometer",1
"Noise",1
"Photoluminescence LO Phonon Replicas",1
"Tail States Parameters",1
"Power in Central Lobe",1
"Raman E2g Mode FWHM",1
"Si:H Bonding Configuration",1
"Photocurrent vs Power Density Relationship",1
"Light absorption onset",1
"Raman 2D-band",1
"Optical Absorbance/Transmittance",1
"Exciton Emission Line Width",1
"Peak Wavelength Shift with Current",1
"Carrier Relaxation Time Constant",1
"FTIR Spectroscopy Features",1
"X-ray Diffraction Spectrum",1
"Near-field Width",1
"Tilted view Morphology",1
"Equivalent Input Noise Current",1
"Satellite Peak Intensity Distribution",1
"Photoluminescence Blueshift",1
"Dislocation Network",1
"Surface Strain",1
"Photo-current Response",1
"Average Reflectance vs. Angle",1
"Surface Anisotropy",1
"Self-pulsation Frequency",1
"Form of potential",1
"Defect band",1
"RhB Degradation",1
"Lux-ampere Characteristic",1
"SPV transient",1
"Arsenic doping concentration",1
"Average electron energy",1
"Dispersion curves",1
"Center conductor width",1
"Specific Contact Resistivity",2
"Tube wall thickness",1
"Charge Carrier Mobility",1
"Ga-Ga In-plane Distance",1
"Base-Collector Breakdown Voltage",1
"Secondary Phases or Atomic Clusters",1
"Dark-Current-Limited Detectivity",1
"Two-Terminal Resistance",1
"Charge Separated State Lifetime",1
"Ellipsometric Spectra",1
"Direct/Indirect Gap",1
"Catalyst",1
"Outer Ring Radius",1
"Presence of Metallic Indium",1
"Band Emission Peak Energy",1
"Majority-carrier Concentration",1
"UV-Vis Absorption λmax",1
"Raman Shift Difference",1
"Laser Emission Peak",1
"PL Excitation Wavelength",1
"Average Fluorescence Decay Time",1
"Maximum Molar Extinction Coefficient",1
"Piezoelectric Output Voltage Response",1
"Low-frequency noise spectra",1
"Second-order Susceptibility",1
"Contact Layer Material",1
"Elastic Compliance Constant",1
"Average Emission Lifetime",1
"Net Modal Gain Coefficient",1
"Free Exciton",1
"Coherently Scattering Region size",1
"Absorbed power",1
"UC Emission Intensity",1
"SHG Emission Wavelength",1
"FET mobility",1
"Conduction Band Dispersion",1
"Contact width",1
"Surface Reaction Rate Constant",1
"Etched Sidewall Morphology",1
"Channel Bandwidth",1
"Accelerating Voltage",1
"Electrode pattern",1
"Miniband formation",1
"N2 Flow Rate",1
"Homoepitaxial growth",1
"Interface position",1
"Caspase-3 activity",1
"SiH4 Flow Rate",1
"Surface Dipole",1
"Spectral Response FWHM",1
"β-factor",1
"Spectral separation",1
"Conduction Band Tail Width",1
"Differential Resistance of the Space-Charge Region",1
"Flatband Voltage Hysteresis",1
"Charge Neutrality Level",1
"Scaling exponent",1
"Presence of defect band in PL spectrum",1
"Diode Series Resistance",1
"Electron-Energy Loss Peak",1
"Built-in Electric Field Effect",1
"Electrochemical Capacitance",1
"Bulk Heterojunction Solar Cell Performance",1
"Impulse Response",1
"Capture Rate",1
"Predominant Residual Donors",1
"Array Patterning",1
"Recovery Time Constants",1
"Maximum Current Gain",1
"Defect Detection Capability",1
"X-ray diffraction satellite peaks",1
"Main QD PL Emission Peak Energy",1
"Valence Band Potential",1
"CL Intensity Distribution",1
"Long wavelength threshold",1
"Lattice Mismatch with Si",1
"Growth Rate Enhancement Factor",1
"Average Inner Diameter",1
"Photocurrent direction",1
"Lateral overgrowth width",1
"FET Hole Mobility",1
"Scattering Spectrum",1
"Emission Output Power",1
"Light resistance",1
"Size and Spacing",1
"Thermionic Emission Current Density",1
"Power Dependence of PL",1
"Reflectivity bandwidth",1
"Hydrostatic deformation potential",1
"Electrically Active Concentration",1
"Structural distortions",1
"Twin structure",1
"Plasma potential",1
"Rib Width",1
"Presence and integrity",1
"Gain section length",1
"NW Density",1
"Average density",1
"Upconversion Efficiency",1
"Unloaded Q Factor",1
"Pulse Delay",1
"Optical matrix element",1
"Oxidation Level",1
"Magnetic ground state",1
"Composition parameter",1
"Neel Temperature",1
"Absorber Temperature",1
"Electron Binding Energy",1
"Synthesis Conditions",1
"Mobile charge density",1
"Lateral Structure",1
"Peak Potential Difference",1
"CBM position",1
"Photoinduced anomalous Hall conductivity",1
"PC Peak Energy",1
"Current Gain",2
"Inhibition",1
"Effective concentration",1
"Polymer type",1
"Visible Absorption",1
"I-V Characteristic Current",1
"Grain Growth",1
"Decay Time Response",1
"Capacitance-Voltage profile",1
"FT-IR Absorption Peak",1
"PV efficiency",1
"Passivation Quality",1
"Surface Potential Barrier",1
"Photocatalytic Rate Coefficient",1
"Charge Transfer Dynamics",1
"Refractive Index Step",1
"Fill Factor",1
"Cracking Behavior",1
"Fluorescence Recovery",1
"Ion Current Density",1
"Thermal Emission",1
"Characteristic Decay Time",1
"Imaginary Part of Optical Conductivity",1
"Channel electron mobility",1
"Screw TDD",1
"Crystalline Thickness",1
"Carrier drift velocity",1
"Crater Depth",1
"Calculated JSC from EQE",1
"Bandwidth-Efficiency Product",1
"Lateral Strain",1
"Integration Capacitance",1
"Implant Species",1
"Inherited Properties",1
"Electron Transport Layer",1
"Surface electric field",1
"Transmission probability",1
"Ipc/Idc Ratio",1
"Ga Oxidation State",1
"Pulse Response",1
"Bandgap gradient",1
"Interfacial defects",1
"PIA spectrum",1
"Interface Configuration",1
"QB Thickness",1
"SCR width",1
"Bowing Curvature",1
"Polaron transition",1
"Nanowall Length",1
"Graphitization Degree",1
"Nuclei Size",1
"Nitridation Efficiency",1
"Quantum Well Transition Energies",1
"Cr Doping Concentration",1
"Surface Band Structure",1
"Radical Concentrations",1
"Density of occupied states",1
"Hg Composition",1
"Te composition",1
"FWHM peak",1
"Minority-Electron Diffusion Length",1
"Crystallinity improvement",1
"Crystal diameter",1
"Responsivity vs Bias Voltage",1
"Si Impurity Concentration",1
"ISB Absorption Line Width",1
"Solar Cell PCE",1
"C-V Characteristic Shape",1
"Bulk Heterojunction Morphology",1
"Layer Electron Concentration",1
"Core Thickness",1
"Peak Drain Current",1
"Type & Resistivity",1
"Exciton",1
"Finger Dimensions",1
"Voids",1
"Thermal Capacitance",1
"Storage time",1
"Model parameters",1
"Inclination",1
"Capital cost",1
"Incident Flux",1
"Zn incorporation",1
"Electric Potential",1
"Redshift",1
"Current Increase",1
"Transfer Efficiency",1
"Interface bond length",1
"GaSb Molar Fraction",1
"Flow Pattern",1
"Franck-Condon Shift",1
"Drift Field",1
"HRTEM Image",1
"Initial Resistance",1
"Microdistortion tensor component",1
"Vertical ordering",1
"Amount Deposited",1
"Jsc Loss",1
"Attenuation Length",1
"Source Gas",1
"Molecular Orbital Distribution",1
"Mirror Composition",1
"ω-FWHM",1
"Optical Emission Peak Energy",1
"Raman LO Peak FWHM",1
"Band splitting",1
"Bond Length Alternation",1
"Local Vibrational Mode",1
"Indium Distribution",1
"Interfacial State Density",1
"Number of QD stacks",1
"Dot Size Distribution",1
"Conductivity Prefactor",1
"Equivalent Capacitance",1
"Amperometric response",1
"Linear Relationship",1
"CTE",1
"Optical Crosstalk",1
"TFT Structure",1
"Directivity",1
"Surface Activity",1
"Reflactance",1
"Nominal power",1
"Surface State Peak Position",1
"Performance Ratio",1
"Energy difference between HOMO and ZnO CBM",1
"Gain Uniformity",1
"BPD Density",1
"Plane",1
"Power Splitting Ratio",1
"Surface Temperature Distribution",1
"X-ray Density",1
"Modulation Format",1
"Conductive coating",1
"Hall Factor",1
"rrec",1
"Faraday Efficiency",1
"Aggregate Structure",1
"Interaction mechanism",1
"Indium donor impurity concentration",1
"Loss function",1
"Acoustic deformation potential",1
"Average Electron Density",1
"Lens Type",1
"Residual β-phase hydride",1
"Extinction index",1
"Optimal Energy Band Gap",1
"Generation-recombination noise",1
"3 dB Small-Signal Bandwidth",1
"Absorption coefficient at 0.7 eV",1
"Dark Saturation Current",1
"N–H Stretching Vibration",1
"Ground State Hole Energy",1
"Output Power Stability",1
"Presence of SiC Polytypes",1
"Wetting Layer Emission",1
"Sample Area",1
"Raman 2D-band peak",1
"Apparent Quantum Efficiency",2
"Time-resolved PL Decay Shape",1
"Aluminium fraction",1
"Intraband Absorption Cross-Section",1
"Net Ionized Impurity Concentration",1
"PL Peak Blue-Shift",1
"THz Power Spectrum Peak Frequency",1
"PL spectral shift",1
"Pyramid Morphology",1
"Light Coupling",1
"Tunnel Junction Structure",1
"Spin–orbit splitting in valence band",1
"GaN Layer",1
"Presence of Phonon Sidebands",1
"Temperature Dependence of Raman Frequency",1
"Photograph of device",1
"Photoionization cross-section for electrons",1
"Rocking Curve FWHM for 004 Bragg Peak",1
"Contact Transfer Resistance",1
"Exciton Ground State Energy Shift",1
"2DEG-related PL Peak Position",1
"Integrated EL Intensity Ratio",1
"Energy Band Position",1
"Emission source",1
"Color Coordinates",1
"Oxidation Peaks",1
"Optical Modes",1
"Reverse bias",1
"Growth monitoring",1
"Trap Emission Energy",1
"Defect density correlation",1
"Fluorescence Quenching of QDs",1
"Composition determination",1
"Mo−Mo Bond Distance",1
"Emitter-Base Junction Area",1
"Density of Edge Threading Dislocations",1
"PL Peak Energy",2
"SEM Cross-sectional Morphology",1
"Nonlinear Absorption Order",1
"Polarization of Light",1
"Effect of Temperature on Carrier Lifetime",1
"Presence related to emission",1
"Absorption Edge Blue Shift",1
"Exciton broadening",1
"Mosaic Structure - Twist Angle",1
"Oxygen chemical state",1
"Spectral dependence of photoionization cross-section",1
"Microwave loss",1
"X-ray Response",1
"Current modulation",1
"Hole localization",1
"Tandem Efficiency",1
"Thermal strain",1
"XRD Asymmetrical FWHM",1
"XPS Zn 2p3/2",1
"Core Crystal Structure",1
"GaN Nanowire Growth",1
"Antiphase Domains",1
"Interface Atomic Arrangement",1
"O 1s core level",1
"Radiated Power Fraction",1
"DBR Center Wavelength",1
"Lattice Constant",1
"Presence of β-SiC nanocrystallites",1
"Induced Photopleochroism Coefficient",1
"EL Full-Width at Half Maximum",1
"Raman E2g mode shift",1
"Photoluminescence wavelength shift",1
"Defect Luminescence Peak",1
"Activation Energy for Auger Recombination",1
"Photoluminescence line shape",1
"Index of refraction profile",1
"Uncompensated Acceptor Concentration",1
"PL band peak position shift",1
"Decomposition temperature range",1
"Reflectivity vs Wavelength",1
"Composition and Chemical States",1
"Minority-Electron Mobility",1
"Lattice Mismatch to InP Substrate",1
"Temperature Sensors",1
"Surface Roughness during Growth",1
"Drain I-V Characteristics",1
"AM1 Efficiency",1
"Spin Injection Efficiency",1
"Raman Crystallinity",1
"Presence of Pores",1
"Nuclei Density",1
"Maximum Stress",1
"Indium Segregation",1
"Spectral response",1
"EL Efficiency",1
"Defect Mode Frequency",1
"Phosphorus Bound Exciton TO-phonon Replica",1
"Pseudomorphic nature",1
"Comparison with experimental data",1
"Out-of-Band Rejection",1
"DBR Periods",1
"Wavelength Spacing",1
"Void fraction at the outer surface",1
"Direct bandgap energy",1
"Raman Scattering Cross-Section",1
"Exciton-phonon interaction",1
"Bulk Refractive Index Sensitivity",1
"Diffuse Reflection",1
"Overall Structure Schematic",1
"Absorption capability",1
"Cavity mode quality factor",1
"QW Emission Wavelength",1
"Interlayer Phonon Coupling",1
"Upconversion Luminescence Intensity",1
"12 K UV Emission Peak Energy",1
"Lateral Diffusion Coefficient",1
"XRD Reflections",1
"Height/Diameter Ratio",1
"Estimated InN mole fraction",1
"External cavity configuration",1
"Activation Efficiency of Mg",1
"Absorbance features",1
"Typical size",1
"V-defect typical size",1
"Time-integrated PL spectrum",1
"Nominal In Composition",1
"Band-to-Band Recombination Energy",1
"Photovoltage sign",1
"Elastic Anisotropy",1
"Leakage Current Activation Energy",1
"Distance from Surface",1
"CP2Mg flow rate",1
"Presence of CH bonds",1
"Oxygen Adsorption",1
"Dopant Presence",1
"Differential Transmission",1
"Lifetime Distribution",1
"Population Inversion",1
"Scattering Centers",1
"Antimicrobial Activity - Zone of Inhibition",1
"Lattice mismatch with CdTe",1
"Al Incorporation Efficiency",1
"Enthalpy of melting",1
"Sub-bandgap external quantum efficiency",1
"Spreading Resistance",1
"Lateral Domain Size",1
"Mound Height",1
"Interface Epitaxial Relation",1
"Band Tail",1
"Conductance Modulation",1
"PL Lines",1
"Average QD–QD spacing",1
"Full-Width at Half-Maximum of XRC",1
"CW Power",1
"Raman E2 Mode FWHM",1
"First Peak of Absorbance Spectrum",1
"Internal Photoconductivity Sensitivity Efficiency",1
"Crystal Quality plane)",1
"Bound Exciton Transitions",1
"Saturated Drain Current Density",1
"Low-Temperature PL Peak FWHM",1
"Fall Time of Photocurrent",1
"C–H Bond Presence",1
"Potential for Photovoltaic Application",1
"Ionization Threshold Energy",1
"Crystalline Mosaicity",1
"FWHM Temperature Dependence",1
"Electroluminescence output power",1
"Normalized Absorption",1
"Film Density / Microstructure",1
"C1s Peak Shift",1
"1H NMR Peak",1
"Presence of Pinholes",1
"Bandgap engineering",1
"Radiation Damage",1
"Negative magnetoresistance",1
"Real part of AC conductivity",1
"Island size during initial growth",1
"Initial Concentration",1
"Gap height",1
"Total Number of Absorbed Photons",1
"Temperature Dependence of Jth",1
"Shoulder Wavelength",1
"Al composition uniformity",1
"Defect Reduction",1
"Biaxial modulus",1
"Corner Frequency",1
"Cost-effectiveness",1
"STM Image",1
"Nonlinearity parameter",1
"Nitrogen Vacancies",1
"Number of Grains",1
"Tin concentration",1
"CM Efficiency",1
"Static On-Resistance",1
"Slope Angle",1
"Number of H atoms",1
"Room Temperature Emission",1
"Period Structure",1
"Presence of Ga oxides",1
"Surface Texturing",1
"Facet Surface Roughness",1
"Count Rate",1
"µh/µe",1
"Disorder-Induced Gap States Density",1
"Wurtzite Structure",1
"Current Dependence Region",1
"Biasing Configuration",1
"Gamma Ray Response",1
"Capacitance Variation",1
"TSC Spectra",1
"Effective Albedo",1
"Optical-excitation spectrum",1
"Current spreading",1
"Crystal Structure Evolution",1
"Mean Square Surface Roughness",1
"Total Power Efficiency",1
"Short-circuit Current Ratio",1
"Absorption edge onset",1
"Overall Structural/Morphological Measurements",1
"Band edge wavelength",1
"In Mole Fraction",1
"Low-Temperature PL Wavelength",1
"Growth Stage",1
"ISB Absorption FWHM",1
"Peak Tunneling Current",1
"Growth dynamics",1
"Crystalline Peaks",1
"PL peak separation",1
"Modulated photocurrent",1
"Energy-band bending",1
"Etched Feature Profile",1
"Stretched Exponent",1
"Piezoresistive effect",1
"Rashba Coupling Constant",1
"Interface Band Alignment",1
"Stress Level",1
"Duration of Desorption Step",1
"Surface Particles/Features",1
"Laser Operating Temperature",1
"CdS Deposition",1
"Detector Responsivity",1
"Loss Mechanism",1
"Delamination",1
"Alloy concentration",1
"Simulation Box Dimensions",1
"Cycle Life",1
"PL signal",1
"Transition Density Matrix",1
"Molar Flow Rate",1
"Maximum modal gain",1
"Substrate Coverage",1
"Growth Sequence",1
"Wavenumber",1
"Cobalt content",1
"Resistance change upon H2 exposure",1
"Equilibrium constant",1
"EL Peak",1
"Sticking probability",1
"PR Spectra Features",1
"Total spin",1
"PL blinking behavior",1
"Roughness Evolution Trend",1
"Density/Structure",1
"Tm-related emission",1
"Optical Quality Indicator",1
"Packing",1
"Growth Front Profile Roughness",1
"Charge Neutrality Point",1
"Singlet Exciton Lifetime",1
"XRD Full Width at Half Maximum",1
"Imaginary Part of Dielectric Permittivity",1
"Raman features",1
"In-Plane Compressive Stress",1
"Growth Regime Transition",1
"Infrared emission intensity",1
"Lattice mismatch with substrate",1
"Nonlinear Refraction",1
"Bonding Quality",1
"Electron Transfer Efficiency",1
"Role in Fabrication",1
"Front Contact Barrier Height",1
"Zero-field spin-splitting energy",1
"Strained a-lattice parameter",1
"Hole concentration in active region",1
"Interplanar Crystal Spacing",1
"Array Geometry",1
"Vibrational Properties",1
"Ablation Mechanism",1
"Electroactive Surface Area",1
"Spontaneous Emission Efficiency",1
"Laser Fluence",1
"Saturation Polarization",1
"Presence of Mg",1
"RTA Treatment",1
"Multiplication layer thickness",1
"Impurity profile",1
"Pattern Depth",1
"Structure height",1
"Island Aspect Ratio",1
"Reverse recovery time",1
"Diamond nucleation density",1
"Solar Blindness",1
"Spectral Distribution",1
"PEC Current Density",1
"Subband Structure",1
"Number of Cycles",1
"Glass Coefficient",1
"Mask Integrity",1
"Wind Speed",1
"In vitro CdSe-QD formation",1
"2D band position",1
"IUV/Idark Ratio",1
"Border traps",1
"Photocatalytic Decolorization",1
"Second-order susceptibility tensor component",1
"Sheet hole density",1
"UV Protection Factor",1
"Strain ratio",1
"Windowing",1
"Presence of CO2 Molecules",1
"InN Content",1
"Moisture Resistivity",1
"Collected Charge",1
"GaN Mole Fraction",1
"Effective Thickness for A-type Interference Fringes",1
"Global Softness",1
"Linear Polarization Resistance",1
"Coupling Gap",1
"Setting Times",1
"1/e lifetime",1
"SPV Signal Magnitude",1
"Coarse Tweed Structure Periodicity",1
"Atomic Layers",1
"Copper Content",1
"Two-dimensional resistivity",1
"NBE emission intensity",1
"PL Spectrum Peak",1
"Photoluminescence Ratio",1
"Change of Film Thickness %",1
"Photocurrent Change",1
"First exciton peak",1
"Photodetection",1
"NBE/DLE Ratio",1
"Illuminated Conductivity",1
"CL Emission Spectrum",1
"Bandgaps",1
"Presence and type",1
"External Quantum Efﬁciency",1
"Se Concentration",1
"Porous Layer Thickness",1
"Maximum Strain",1
"Optimized Bond Lengths",1
"Adsorption Configuration",1
"Global Solar Radiation",1
"Stress Type",1
"Area ratio",1
"Stripe Orientation",1
"Buckling",1
"Deep level presence",1
"Internal Loss Coefficient",1
"Crossover Temperature",1
"Elemental Purity",1
"Normalized Gain",1
"Interval",1
"Excitation Source",1
"Bipolar Diffusion Length",1
"Damage level",1
"Blocking Effect",1
"Quadrupole Splitting",1
"Buckling parameter",1
"Gas Pressure",1
"IPCE Onset",1
"Component Values",1
"Transition density matrix",1
"Superlattice periodicity and interface smoothness",1
"RT PL",1
"Transition time",1
"Normalized spectral response",1
"Chronoamperometry",1
"Sensitivity to NO2",1
"Warp",1
"Rated Current",1
"DC Activation Energy",1
"Area Percentage",1
"Response to 'BLV-negative' serum",1
"Ratio of Transition Dipole Moments",1
"Surface-Enhanced Raman Scattering Enhancement",1
"Growth Interruption Time",1
"Photoluminescence Emission Peak Shift with Excitation Energy",1
"Photoluminescence - Free exciton peak intensity",1
"Optical Quality",2
"InGaAs Layer Thickness",1
"Diode I-V Characteristics",1
"Overall HEMT Structure",1
"Onset Wavelength",1
"Exciton transition degeneracy",1
"CL Peak Wavelength Shift",1
"Excitonic Emission Presence",1
"Transient photoinduced absorption band",1
"Single QD emission line FWHM",1
"Laser Pulse Spectral Width",1
"Critical thickness for 2D-3D transition",1
"Step-terrace structure",1
"Cell Current Density",1
"Spatial Variation of Luminescence",1
"Relative Efficiency Improvement",1
"Light-hole exciton transition energy",1
"Crystallinity peak)",1
"Phonon emission spectrum",1
"Diffuse Scattering",1
"Lens Diameter",1
"Methylene Blue Degradation Efficiency",1
"Kerr Nonlinearity Coefficient",1
"Cation Ratio",1
"Efficiency vs Concentration",1
"Near-field Profile",1
"Output Facet Width",1
"CdSe Core Average Diameter",1
"Presence of Secondary Phase",1
"MoSe2 Layer Formation",1
"Localized State Energy Levels",1
"Bleaching decay time constants",1
"Poole-Frenkel coefficient",1
"Photoluminescence spectrum shape",1
"FWHM of XRD Rocking Curve",1
"Carrier Concentration Trend",1
"Maximum Photocurrent Wavelength",1
"Nanorod Height",1
"TiO2 Film Morphology",1
"Impurity",1
"Oscillation Mode",1
"Etch pit dislocation density",1
"Surface Impurities",1
"Doping mechanism",1
"Ag–Br bond length",1
"Leakage Current Path",1
"Photo Resistivity",1
"Stability of Reconstructions",1
"Pixel Rate",1
"Presence of Transition Layer",1
"Precipitate Structure",1
"Forward Bias Characteristics",1
"Al Diffusion Coefficient",1
"O:Mo Ratio",1
"Density of misfit dislocations",1
"Excitation energies",1
"Integrated low-temperature photoluminescence intensity",1
"Substitutional N doping",1
"p-type layer thickness",1
"Crystallinity/Defect Density",1
"C–H bonds",1
"Cavity resonance energy",1
"C-H Bonding",1
"Overall Electron-hole Overlap Integral",1
"PL Intensity Mapping",1
"Al/Zr Ratio",1
"Far-field Intensity Distribution",1
"Substrate Dislocation density",1
"Incident photo-to-current conversion efficiency",1
"Strain Parameter",1
"V-pit Size",1
"Average Rod Diameter",1
"Crystalline alignment",1
"Hall carrier mobility",1
"Hf 4d Core Level Binding Energy",1
"Temperature Optimum",1
"Incident Light Wavelength",1
"Normalized Emission Rate",1
"Nucleation Location",1
"Temperature Tuning Range",1
"Electro-optical Properties",1
"Material Purity",1
"Stabilization",1
"Grading",1
"Thermal Rollover",1
"Temperature Dependence of Magnetoresistance",1
"Adsorption of RhB",1
"Oxidation State of Fe",1
"Stripe dimensions",1
"Mobility Anisotropy",1
"Electron Wave Function",1
"Zn–O Coordination Number",1
"Photoluminescence Emission Shoulder",1
"Film Phase",1
"Si depth profile shape",1
"Conductance Gap",1
"Probability of Escape of an Electron from the Trap per Second",1
"Presence of SiOx",1
"Transconductance Frequency Dispersion",1
"Lattice Parameter Trend",1
"Cleavage strength",1
"Ablation Morphology",1
"Response to H2 gas",1
"Schottky Junction Formation",1
"Deposition potential",1
"Quantization Energy",1
"Anode-to-cathode Gap",1
"Transitions",1
"Laser Diode Structure",1
"Quarter-wave optical thickness",1
"Photocurrent Time Dependence",1
"Etching Rate per Unit Power",1
"XRD Peak Intensity Ratio vs others",1
"Lattice Mismatch Reduction",1
"Ratio of photoconductivity signal amplitudes",1
"UV Near Band Edge Emission",1
"Presence and Intensity",1
"Silicon Thickness",1
"GaN 2θ XRD peak position",1
"Laser threshold current reduction",1
"LT-GaN RMS Surface Roughness",1
"Calculated reflectivity",1
"PL Intensity Saturation",1
"Device Morphology",1
"Simulated Reflectance",1
"Post-growth annealing",1
"Absence of Cracks",1
"Growth Speed",1
"Reflection Peak",1
"Average Micro-strain",1
"Detector",1
"XRC FWHM",1
"Absorber Section Length",1
"Growth Rate Stability",1
"Contact Metallization",1
"Metal Layer Thickness",1
"Stop-band Position",1
"Opening diameter",1
"Atomic spacing",1
"Absorbed Pump Power",1
"Carrier Multiplication",1
"Transition Rate",1
"Gap capacitance",1
"Dark electron density",1
"Mn incorporation",1
"Stability and Repeatability",1
"Input matching network",1
"Back Contact Structure",1
"Structural relaxation",1
"Linear Sweep Voltammetry",1
"QD Vertical Alignment",1
"Grid Line Width",1
"AlN Partial Growth Rate",1
"Nanodot size",1
"Presence, Coverage",1
"Schematic Top View",1
"Strong light-matter coupling",1
"Boron Presence",1
"Capture Cross Section * Thermal Velocity",1
"Exciton damping constant",1
"C-axis Alignment",1
"Hole Conduction",1
"Presence/Absence of a-type oval defects",1
"Dominant Trap",1
"Effective width",1
"Well-width Fluctuation",1
"Twin domains",1
"Polycrystalline phase",1
"Interface Effect",1
"Charge stability diagram",1
"Response wavelength",1
"Photocurrent Transient Shape",1
"Normalised Room Temperature Photoluminescence Intensity",1
"Mn:Zn Ratio",1
"Electron Recombination Time Constant",1
"IR Absorption Peak Position",1
"Maximum Saturated Drain Current",1
"Electron carrier density",1
"Acoustic phonon coupling",1
"Presence of Green Band Emission",1
"Carrier concentration and mobility",1
"Cross Junction Width",1
"Tunability range",1
"Far Field",1
"Interlayer",1
"Optical Transmission Edge",1
"Anisotropy Parameter",1
"Maximum Growth Rate",1
"Raman Peak Separation",1
"Equilibrium lattice constant",1
"Bipolar Resistive Switching",1
"Interdiffusion Length",1
"Forward Resistance",1
"Conduction Band Edge Shift",1
"Bridge length",1
"Cr reduction rate",1
"Number of emitters",1
"Spectral stability",1
"Residual Chlorine",1
"Drift Length",1
"Presence of holes",1
"Elastic mean free path",1
"Space-charge field",1
"Graphitization",1
"Fracture behavior",1
"Defective Pixel Rate",1
"Field-Effect Transistor Hole Mobility",1
"Presence of InN phase",1
"Equilibrium Hole Concentration",1
"Li Concentration",1
"Chemical Ordering",1
"Resistance uniformity",1
"Surface Planarity",1
"Average conductivity",1
"Spatial Photoresponse Uniformity",1
"Photocurrent Hysteresis",1
"Valley Depth",1
"Anatase phase content",1
"Zero-dispersion Wavelength",1
"Bowing Radius",1
"PL Linewidth",1
"Basal spacing",1
"Network Morphology",1
"Dead pixels",1
"Substitution energy",1
"Tolerance to Fabrication Error",1
"Optical Activation Energy",1
"J-V Measurement",1
"Absorption Oscillator Strength",1
"Photovoltaic Gap",1
"Buffer Conductivity",1
"Interface State Density near conduction band",1
"Whisker Morphology",1
"HSE06 Band Gap",1
"Number of Quantum Well Periods",1
"Gas Concentration",1
"Equilibrium Geometry",1
"Short Circuit Current Density",1
"Sub-gap optical absorption coefficient",1
"Average AlN mole fraction",1
"Gap state density below EF",1
"Spectral Photosensitivity Range",1
"Morphology and Microstructure",1
"Apparent free hole concentration",1
"Rashba Spin-Orbit Coupling Parameter",1
"Exciton Peak FWHM",1
"Effective Electron Diffusion Coefficient",1
"Excited state character",1
"Raman Shift of E2 phonon",1
"Metal Ratio",1
"Crystal parameters",1
"Residual Compressive Stress",1
"Schematic energy diagram",1
"Charge carrier separation",1
"XPS O1s peak contribution",1
"Local Field Enhancement",1
"Crystal structure of TiO2",1
"Conductance enhancement",1
"Raman LA/TO ratio",1
"Measurement of photocurrent",1
"Autocorrelation",1
"Diamond Quality",1
"Impurities and Defects",1
"Surface Sulfur Species",1
"Cubic Anisotropy Field",1
"Plateau Photocurrent",1
"Substrate roughness",1
"Density of sulfur vacancies",1
"Mesa Shape",1
"Period of Array",1
"Quantum Yield for Carrier Generation",1
"Emitter sheet resistance",1
"Thickness Modulation",1
"Gate Dielectric",1
"Number of Nuclei",1
"Threshold voltage uniformity",1
"Loss coefficient",1
"Diode parameters",1
"Cooling Requirement",1
"Switchable Photovoltaic Effect",1
"Pore filling",1
"Spin Concentration",1
"EL Output Power",1
"Interband dephasing time",1
"Presence of D band",1
"Antibunching",1
"Background Photocurrent",1
"Migration",1
"CEC Efficiency",1
"Interface stoichiometry",1
"Growth ambient",1
"Implantation Concentration",1
"Number of junctions",1
"Stability Factor",1
"Granule Size",1
"CV characteristics",1
"Band-tail parameter",1
"Microtwin Density",1
"Stacking distance",1
